t;x;y;q
386;-13.4;-33.8;-1.7
388;-14;-35.7;-1
390;-13.6;-35.6;-2
392;-13.5;-34.7;-1.2
394;-13.5;-34.3;-1.6
396;-13.8;-34.7;-1.7
398;-13.9;-35.5;-0.9
400;-13.3;-35.1;-1.6
402;-13.6;-35;-1.8
404;-13.4;-34;-1.1
406;-13.8;-34.3;-1.5
408;-13.5;-34.8;-1.5
410;-13.8;-35.7;-1.1
412;-13.5;-34.9;-1.6
414;-13.7;-34.4;-1.8
416;-13.6;-34;-1.3
418;-13.8;-34.5;-1.4
420;-13.7;-34.9;-2
422;-13.9;-35.8;-1.7
424;-13.7;-34.7;-1.4
426;-13.6;-34.4;-1.4
428;-13.6;-34.6;-1.1
430;-13.8;-34.7;-1.8
432;-13.7;-35.5;-1.5
434;-13.8;-35.5;-1.2
436;-13.5;-34.4;-1.8
438;-13.8;-34.5;-1.4
440;-13.5;-34.1;-1.7
442;-13.8;-35.4;-1.7
444;-13.6;-35.6;-1.3
446;-13.6;-34.8;-1.3
448;-13.6;-34;-1.4
450;-13.4;-34.2;-1.5
452;-13.7;-34.6;-1.5
454;-13.7;-35.2;-1.5
456;-13.6;-35.4;-1.8
458;-13.6;-34.9;-1.4
460;-13.8;-34.8;-1.6
462;-13.6;-34;-1.4
464;-13.7;-35.2;-1.5
466;-13.6;-35.5;-1.3
468;-13.9;-35.8;-1.5
470;-13.7;-34.4;-1.4
472;-13.6;-33.9;-1.7
474;-13.6;-34.4;-1.7
476;-13.5;-35.1;-1
478;-13.6;-35.3;-1.4
480;-13.5;-34.6;-1.4
482;-13.6;-34.2;-0.8
484;-13.7;-34.3;-2.2
486;-13.4;-34.7;-1.3
488;-13.8;-36;-1.2
490;-13.8;-35.1;-1.9
492;-14;-34.3;-1.3
494;-13.7;-34.3;-1.3
496;-13.5;-34.8;-2.1
498;-13.8;-36;-1.3
500;-13.7;-35.2;-1.5
502;-13.7;-34.2;-1.3
504;-13.6;-34.1;-1.5
